Region,Humidity (%),Soil Type,Temperature (°C),Terrain Type,Rainfall (mm),Wind Speed (km/h),Sunlight Hours,Water Availability,Crop Type,Soil Moisture (%),Evapotranspiration (mm/day),Irrigation Frequency (days),Rainfall Forecast (mm),Vegetation Index,Topography,Water Absorption Capacity,Irrigation System Type,Distance to Water Source (km),Recommended Irrigation Level,Daily Irrigation Water (m³)
Rabat-Salé-Kénitra,56.49525701210163,Silty,41.12249046984668,Coastal Plain,418.5877918197439,20.32995808206252,10.723442989779292,Low,Barley,74.3414427851071,11.381947294241629,14,42.51434128491576,0.8519691165330774,Flat,Medium,Drip,38.8531275673156,High,11.86322603461921
Draa Tafilalet,45.97507299982713,Silty,39.10493244277016,Plateau,279.14437321870844,5.83770180058194,11.549828475065464,High,Dates,65.76446279339093,10.438978002877194,12,130.0527398629235,0.4808567363941806,Steep Slope,Low,Drip,45.45001035363661,Medium,12.0
Casablanca-Settat,38.936847750811,Sandy,40.96810783360685,Mountain,145.1256100954534,19.60566952287592,10.432699507829875,Low,Dates,23.236906073646608,6.514460580899184,9,103.08057013184792,0.3431787519238194,Flat,Medium,Subsurface,34.190618926779095,High,12.0
Oriental,37.23260853483383,Loam,44.21713177926653,Plateau,201.7437376402525,9.378657890937836,6.385965431597714,High,Almonds,27.982303814241394,12.208452203044171,9,170.42419176364598,0.5936817692268468,Steep Slope,Medium,Sprinkler,6.430531279077651,Low,12.0
Fes-Meknes,70.05791268868634,Clay,20.93420641878712,Plateau,4.780856425239122,8.368642577006803,5.697352466647616,Medium,Tomatoes,1.0636737420054612,4.465203507025264,11,112.97894577890352,0.3333845364717945,Flat,High,Drip,29.76538943417981,Low,4.670809989269901
Rabat-Salé-Kénitra,58.95081372407537,Silty,38.47697580780431,Valley,365.2957165483086,22.157613672745008,5.084144131240749,Low,Tomatoes,100.52838058849504,6.952447589999256,1,106.9660539403462,0.3045479011983338,Gentle Slope,Low,Subsurface,43.56039896911601,High,12.0
Souss-Massa,68.24645279556321,Loam,21.80653358861952,Plateau,466.7811558013666,25.980354773617307,5.885655200525248,Low,Almonds,49.84946774127776,3.018613318933333,3,75.85191601327517,0.7740825212983363,Flat,High,Subsurface,14.69078523969,Low,12.0
Draa Tafilalet,52.58087553520472,Silty,33.542705880132985,Mountain,284.4303986805888,1.1669341415323553,5.668079717377339,Low,Tomatoes,32.07100770345121,5.210625065300583,6,95.06422093075784,0.2551794496697768,Gentle Slope,Low,Subsurface,32.85520579027998,Medium,12.0
Casablanca-Settat,66.87236365744013,Silty,29.51160921414788,Coastal Plain,287.41501342784534,43.63652420301748,6.247982597511917,Medium,Grapes,33.87862161240894,7.202880945619798,13,26.242285056132,0.688227998357634,Gentle Slope,Medium,Drip,22.87141204683032,Low,9.220964332087128
Casablanca-Settat,52.15850041110387,Silty,41.26695746396629,Valley,397.4468748532488,8.758308207539333,8.899181387802045,Medium,Barley,80.60974838922822,5.459453946977884,13,0.7613288802037266,0.1285066955573628,Flat,Medium,Surface,26.77600062560269,High,12.0
Souss-Massa,39.51472968462021,Clay,41.10506331144612,Mountain,351.8905025173324,9.602488319801882,8.462867484708568,Medium,Barley,39.321033619881725,7.977540774915054,9,19.892639630859787,0.1230703474841189,Steep Slope,Medium,Drip,18.026765399350552,High,12.0
Rabat-Salé-Kénitra,58.96098047527119,Sandy,29.249594555308352,Plateau,308.22946758314805,42.43326558935897,8.940033070969372,Low,Olives,52.5042242713884,7.526144333077404,3,53.05130569003662,0.3788916116780307,Steep Slope,Low,Subsurface,31.24615959861437,High,12.0
Fes-Meknes,62.78229121916626,Sandy,27.82358376760063,Coastal Plain,62.55807982474276,5.346803174787196,9.909749364002508,High,Dates,10.451500714031914,6.099778519484165,4,29.19508653369128,0.7288734681210084,Steep Slope,Medium,Sprinkler,28.136128821041027,High,11.475488327039637
Fes-Meknes,54.37633172141908,Silty,35.36209679147878,Coastal Plain,190.3837860788599,21.99801882311061,8.294052386494597,Low,Tomatoes,26.438736934394065,8.622821417349936,12,0.2616399050193729,0.8637046081592679,Steep Slope,Medium,Subsurface,33.405690893254985,Medium,10.641130491954236
Oriental,81.86691376279657,Silty,16.626681372397467,Mountain,305.2687136533661,39.85525111670468,5.431840157487978,Medium,Tomatoes,81.84221372804653,3.695027838049526,14,46.46957648150823,0.8869047243940926,Flat,Low,Surface,23.35370603209716,High,5.629008272367752
Rabat-Salé-Kénitra,55.15818732741919,Silty,32.98878072799735,Coastal Plain,5.634723094699146,1.903411557493984,5.04718394512347,Medium,Dates,1.5593983086469083,9.379453700184431,10,33.43028162956367,0.6273045114573843,Gentle Slope,Low,Drip,8.386459260613082,Low,9.018375232007646
Tanger-Tetouan-Al Hoceima,50.27331558544563,Loam,35.36762554184024,Mountain,146.70545500969752,19.43065304465204,5.961781667072596,Low,Grapes,24.229074023587376,5.601834367425594,11,38.4197567135081,0.8951437424555875,Gentle Slope,Low,Sprinkler,47.63770605393061,Medium,10.696514094557845
Rabat-Salé-Kénitra,60.84629102234556,Loam,26.65935916222271,Coastal Plain,214.0674223555472,16.80647110140435,8.47804699021318,Low,Barley,24.092543081237245,6.035244134397681,14,32.048456035244335,0.1635140810672851,Gentle Slope,Low,Sprinkler,10.7569843910787,Medium,7.343076362427626
Souss-Massa,37.83031971460929,Clay,42.52482280900332,Mountain,300.298351789725,44.7717550378053,5.870158449338241,Medium,Barley,86.01059930884936,5.153725713911452,10,140.4365629649335,0.8500897446225281,Steep Slope,Medium,Surface,15.871238521583136,Low,12.0
Souss-Massa,66.1267813522719,Clay,28.98560321270224,Coastal Plain,489.17011639829167,6.313794388756272,7.236016084547438,High,Tomatoes,92.3957372777885,6.549964546099162,4,39.32771168730089,0.2681243370270876,Flat,Low,Sprinkler,12.641493910927258,Medium,12.0
Rabat-Salé-Kénitra,72.39543137431787,Loam,23.79596591042272,Coastal Plain,187.2389491272937,46.32297186681368,9.973453215308474,Low,Barley,33.75189206467387,6.3982799809992255,12,48.74474123654904,0.3881096515456165,Steep Slope,Low,Drip,10.83956946060564,High,7.631059141370979
Casablanca-Settat,57.94265004555867,Clay,39.19894262548102,Valley,381.59493535974735,16.471736916913006,10.54915895988465,Low,Barley,113.41325862447462,3.938242387588132,13,47.72774991105608,0.3192402314764115,Gentle Slope,Medium,Drip,8.90137966077792,High,12.0
Draa Tafilalet,41.65064296348682,Silty,44.20008664801421,Valley,86.26585034355433,9.023834804546166,6.287802325206836,Medium,Barley,24.3750417080654,12.4564662242521,10,84.42111525625387,0.1990326083578831,Gentle Slope,Low,Drip,25.47706857275223,Medium,12.0
Fes-Meknes,56.13099353084083,Loam,35.56960283141129,Coastal Plain,423.4617090548976,4.3690031259745465,6.563583361605209,High,Barley,43.63973713855581,6.919090929220121,11,32.9798063092257,0.7734517567507461,Gentle Slope,Medium,Sprinkler,45.150308378755135,Low,12.0
Fes-Meknes,65.22753725403811,Sandy,27.08322910927416,Plateau,235.7681937891224,42.470579397465976,5.150187886009303,Low,Citrus,44.58159488053034,4.26006515773814,6,124.49322061252384,0.1311795886075378,Steep Slope,Medium,Drip,34.18565145678524,Medium,12.0
Rabat-Salé-Kénitra,58.14954361274143,Silty,28.546471153175265,Plateau,357.9794520696985,3.2911508969071965,6.630658831365421,Medium,Citrus,85.20021073985521,5.23905500240556,13,198.276554353147,0.4279352935446147,Steep Slope,High,Sprinkler,15.23357779476805,High,9.834327758690868
Rabat-Salé-Kénitra,55.96226021563292,Silty,42.35505321244918,Valley,167.94913505850357,37.01421701314176,10.854492330589848,High,Olives,44.53192398474735,6.130618387013612,13,19.725986906919047,0.141023254051058,Gentle Slope,Medium,Surface,1.214407970284552,Medium,11.63429110428789
Tanger-Tetouan-Al Hoceima,55.93469833073818,Loam,33.15042934577711,Coastal Plain,350.8878852437765,5.95801325974371,9.883066362716724,Low,Wheat,87.0214692469067,7.4084002889549,4,16.437728129797733,0.1494154708594949,Gentle Slope,Low,Drip,43.60103177332158,High,12.0
Oriental,53.01627262614273,Sandy,39.92239797788749,Plateau,120.51486616796286,45.07387907350082,7.753217677830936,High,Barley,16.715562062336215,11.147461180530422,11,83.15233837449942,0.8020864726465246,Gentle Slope,Medium,Subsurface,23.40614778998704,Medium,11.950088160815412
Tanger-Tetouan-Al Hoceima,47.86545006848844,Loam,43.94739507480802,Valley,152.0226348179038,17.378256129795886,6.763515632776123,Medium,Barley,15.735174309833006,7.245599423441658,10,1.640982464078422,0.5594846742880785,Steep Slope,Medium,Surface,46.36459226772645,Low,12.0
Souss-Massa,54.96888859519493,Loam,30.14163472602277,Plateau,389.69652712211087,7.305199978783294,8.178488326647791,Medium,Grapes,110.88747767219952,6.951602463528418,6,157.19451037470614,0.3012022639738161,Steep Slope,Low,Surface,28.60339583343866,Low,12.0
Oriental,58.785726290612615,Sandy,29.69289418849582,Plateau,368.51295289517697,4.485243852098392,8.365824396020711,High,Olives,102.79241355847547,5.504937050368605,13,43.0366084373575,0.7496013150219744,Flat,High,Drip,20.55008039717716,Medium,10.447094642334138
Casablanca-Settat,56.286087612028616,Clay,31.42731721400256,Mountain,57.36798063045734,39.21316886476403,5.604620656659561,High,Wheat,11.84610146435874,5.199215672175909,7,137.424878109247,0.3776575708924423,Steep Slope,High,Subsurface,36.96849894468321,High,12.0
Tanger-Tetouan-Al Hoceima,68.86729796606753,Silty,21.9111091504367,Plateau,423.7280092816762,42.99037410080941,10.207537467037348,High,Citrus,83.85045361924402,3.0883623630002037,4,1.2148868800227808,0.2614608244643926,Gentle Slope,Low,Subsurface,24.8299671538168,Low,12.0
Oriental,70.25268162083736,Sandy,21.18768096556687,Coastal Plain,152.4977591513429,5.716499733141767,10.928215353556826,Low,Tomatoes,20.56665195310465,6.244792473487228,5,74.94399135761094,0.8382736489165776,Gentle Slope,Low,Sprinkler,39.88654606584995,Low,10.558177878587646
Casablanca-Settat,87.0795170924992,Sandy,11.757459251015046,Valley,497.28278410428834,37.12480302536824,6.628936462573865,High,Olives,79.87859629425252,1.5251902375832471,7,116.70777189673711,0.3548733561172364,Flat,Medium,Subsurface,3.06247508050581,Low,11.066384032595977
Casablanca-Settat,60.89788494658945,Loam,34.66926691310678,Valley,207.0139618776804,8.268478052700058,11.18915572692753,Low,Olives,44.44055883677476,9.34083747890032,8,126.19097100211916,0.5707287964476168,Gentle Slope,Medium,Surface,14.903796725423438,Low,12.0
Oriental,78.45574877636906,Clay,16.343673212315423,Coastal Plain,125.50308938718663,40.54304847593957,9.315826824046272,Medium,Grapes,33.2903904270766,1.8303604599731087,10,7.854739954915679,0.2227087612305831,Flat,Low,Surface,36.114356119051976,Medium,5.67333252447883
Rabat-Salé-Kénitra,83.23790992463277,Clay,11.415359092443149,Coastal Plain,396.7280323578765,2.8850234745522174,5.268215962289315,High,Citrus,108.44798263268336,1.5365068860083368,8,6.672366212309333,0.3869049658503056,Gentle Slope,Low,Drip,9.887302429230898,Medium,10.032593031572668
Rabat-Salé-Kénitra,45.68050059975174,Clay,36.89277474424102,Coastal Plain,433.3913935578285,4.79348373541092,5.230700364058019,High,Wheat,120.6553390376378,4.456782881819428,12,22.48504383190817,0.8270335776565899,Steep Slope,Low,Subsurface,44.857495086364345,Low,12.0
Fes-Meknes,37.00094408035901,Silty,43.79103624539312,Mountain,140.64739776412245,5.420992270771668,6.967331806691731,High,Barley,24.16317835338108,5.480515699284003,12,80.34417842921802,0.2474136868980789,Gentle Slope,Low,Surface,33.95928822418142,High,12.0
Casablanca-Settat,55.24419712349843,Sandy,34.692593123209804,Coastal Plain,160.9553817909109,12.693941969503742,7.97073845930699,Low,Almonds,38.76367497230221,4.239127932806966,5,31.01023279007877,0.7232149361560316,Gentle Slope,High,Surface,9.48435047228418,Medium,12.0
Casablanca-Settat,41.59229109732504,Sandy,40.80459737017746,Coastal Plain,471.2888659464436,22.523366385237885,6.158897894688751,High,Olives,112.29303166618358,11.263557546097694,14,109.08222181788648,0.6658191050314104,Steep Slope,High,Sprinkler,33.009745829894,High,11.374167631573794
Marrakech-Safi,64.0902181274238,Sandy,31.969514476025896,Plateau,144.07847473087244,10.8774715007179,6.334159894008465,Low,Wheat,22.71390774255469,4.701200867606805,11,128.27417028755377,0.4043570338105041,Steep Slope,Low,Sprinkler,16.664585130655325,High,9.692037165593543
Draa Tafilalet,84.36367489082448,Clay,12.296979836750914,Mountain,463.03068639337647,32.222618208236995,5.865457371366097,High,Barley,86.75377794781305,2.8439420338300376,2,86.8693015501546,0.7014109098834157,Flat,Medium,Drip,8.965944905877453,Low,10.956849861213293
Draa Tafilalet,88.01482487813766,Silty,11.279943432703536,Plateau,421.31130873791005,18.5127391961215,8.335187962577256,Medium,Citrus,59.91999280247924,1.8549693029946133,11,188.5568861535312,0.1017494369063321,Steep Slope,Low,Sprinkler,42.167429571085975,Medium,7.751886182135273
Tanger-Tetouan-Al Hoceima,68.94441391160247,Clay,21.821451652275485,Mountain,141.23461516374903,33.87991053942211,6.180423490027426,Low,Grapes,25.970460308413408,4.3996540389989045,3,18.1560173290473,0.3553168492839981,Steep Slope,High,Subsurface,33.21807448074699,Low,9.66221572828168
Tanger-Tetouan-Al Hoceima,81.09041069098484,Loam,13.3437672672683,Coastal Plain,97.8044981260962,39.769158706130895,7.462650544970964,High,Barley,18.014936296091378,1.55209000594653,12,56.05121750120687,0.1973867581421879,Gentle Slope,Low,Drip,40.74035499294542,Low,3.3249235431963555
Rabat-Salé-Kénitra,81.61961773082967,Sandy,17.03047574920802,Mountain,482.01414541621983,30.354098196058622,10.53327782672051,High,Citrus,141.5804420022405,4.11054194656357,8,42.91367639749739,0.6741534178094597,Flat,Low,Subsurface,37.70815725667105,High,12.0
Marrakech-Safi,68.99339426722342,Clay,24.469580131086808,Valley,461.61969186409385,13.001168657248446,9.08231218899392,High,Tomatoes,101.34785945494085,5.198780622168926,14,33.977282931880445,0.2482500003548509,Flat,Low,Drip,21.17811981573732,High,8.883791622576954
Fes-Meknes,72.65457560714879,Clay,23.56482184049413,Coastal Plain,396.96935326597816,20.826282441977977,9.495147920939951,High,Wheat,101.08053537823572,4.525607590260498,1,151.92502777261546,0.1241997872295424,Gentle Slope,Medium,Drip,41.86103398742886,Medium,12.0
